,代號,股票名稱,上市日,市場別,產業別
264,2308,台達電,1988-12-19,上市,電子零組件業
265,2312,金寶,1989-11-07,上市,其他電子業
266,2313,華通,1990-07-24,上市,電子零組件業
267,2314,台揚,1990-08-08,上市,通信網路業
268,2316,楠梓電,1991-02-05,上市,電子零組件業
269,2317,鴻海,1991-06-18,上市,其他電子業
270,2321,東訊,1991-11-08,上市,通信網路業
271,2323,中環,1992-02-17,上市,光電業
272,2324,仁寶,1992-02-18,上市,電腦及週邊設備業
273,2327,國巨,1993-10-22,上市,電子零組件業
274,2328,廣宇,1993-11-09,上市,電子零組件業
275,2329,華泰,1994-04-20,上市,半導體業
276,2330,台積電,1994-09-05,上市,半導體業
277,2331,精英,1994-09-21,上市,電腦及週邊設備業
278,2332,友訊,1994-10-17,上市,通信網路業
279,2337,旺宏,1995-03-15,上市,半導體業
280,2338,光罩,1995-04-17,上市,半導體業
281,2340,台亞,1995-05-02,上市,半導體業
282,2342,茂矽,1995-09-19,上市,半導體業
283,2344,華邦電,1995-10-18,上市,半導體業
284,2345,智邦,1995-11-15,上市,通信網路業
285,2347,聯強,1995-12-13,上市,電子通路業
286,2348,海悅,1996-01-05,上市,其他業
287,2349,錸德,1996-04-23,上市,光電業
288,2351,順德,1996-04-25,上市,半導體業
289,2352,佳世達,1996-07-22,上市,電腦及週邊設備業
290,2353,宏碁,1996-09-18,上市,電腦及週邊設備業
291,2354,鴻準,1996-10-08,上市,其他電子業
292,2355,敬鵬,1996-10-14,上市,電子零組件業
293,2356,英業達,1996-11-13,上市,電腦及週邊設備業
294,2357,華碩,1996-11-14,上市,電腦及週邊設備業
295,2358,廷鑫,1996-12-18,上市,其他業
296,2359,所羅門,1996-12-19,上市,其他電子業
297,2360,致茂,1996-12-21,上市,其他電子業
298,2362,藍天,1997-04-02,上市,電腦及週邊設備業
299,2363,矽統,1997-08-01,上市,半導體業
300,2364,倫飛,1997-08-11,上市,電腦及週邊設備業
301,2365,昆盈,1997-11-03,上市,電腦及週邊設備業
302,2367,燿華,1997-12-13,上市,電子零組件業
303,2368,金像電,1998-03-09,上市,電子零組件業
304,2369,菱生,1998-04-10,上市,半導體業
305,2371,大同,1962-02-09,上市,電機機械
306,2373,震旦行,1991-08-01,上市,其他電子業
307,2374,佳能,1995-01-16,上市,光電業
308,2375,凱美,1998-08-29,上市,電子零組件業
309,2376,技嘉,1998-09-24,上市,電腦及週邊設備業
310,2377,微星,1998-10-31,上市,電腦及週邊設備業
311,2379,瑞昱,1998-10-26,上市,半導體業
312,2380,虹光,1998-12-03,上市,電腦及週邊設備業
313,2382,廣達,1999-01-08,上市,電腦及週邊設備業
314,2383,台光電,1998-11-27,上市,電子零組件業
315,2385,群光,1999-01-05,上市,電子零組件業
316,2387,精元,1999-01-25,上市,電腦及週邊設備業
317,2388,威盛,1999-03-05,上市,半導體業
318,2390,云辰,1999-06-15,上市,其他電子業
319,2392,正崴,1999-09-20,上市,電子零組件業
320,2393,億光,1999-11-04,上市,光電業
321,2395,研華,1999-12-13,上市,電腦及週邊設備業
322,2397,友通,2000-01-15,上市,電腦及週邊設備業
323,2399,映泰,1999-12-16,上市,電腦及週邊設備業
324,2401,凌陽,2000-01-27,上市,半導體業
